viral_protein	human_protein
P0DTD3	Q16891
P0DTD3	Q9NZ01
P0DTD3	O14980
P0DTD3	O95347
P0DTD3	Q9NTJ3
P0DTD3	P53621
P0DTD3	P16615
P0DTD3	O43592
P0DTD3	Q9UBF2
P0DTD3	P35606
P0DTD3	Q9P035
A0A663DJA2	P50991
A0A663DJA2	P08865
A0A663DJA2	P48643
A0A663DJA2	Q14257
A0A663DJA2	Q00325
A0A663DJA2	Q9Y5A9
A0A663DJA2	P57678
A0A663DJA2	P53618
A0A663DJA2	P53621
A0A663DJA2	O15027
A0A663DJA2	O43592
A0A663DJA2	P12268
A0A663DJA2	P05023
A0A663DJA2	Q9UBF2
A0A663DJA2	P16615
A0A663DJA2	Q9P035
A0A663DJA2	Q96CS3
A0A663DJA2	O14980
A0A663DJA2	Q16891
A0A663DJA2	O95347
P0DTC2	P35613
P0DTC2	P35613
P0DTC2	P35613
P0DTC2	P35613
P0DTC2	P35613
P0DTD1-PRO_0000449629	P0DTD1-PRO_0000449626
P0DTD1-PRO_0000449619	P55884
P0DTD1-PRO_0000449619	P08865
P0DTD1-PRO_0000449619	P60228
P0DTD1-PRO_0000449620	P35251
P0DTD1-PRO_0000449620	P46782
P0DTD1-PRO_0000449620	P46783
P0DTD1-PRO_0000449620	O76021
P0DTD1-PRO_0000449620	Q9BUJ2
P0DTD1-PRO_0000449620	Q9BZE4
P0DTD1-PRO_0000449620	O95757
P0DTD1-PRO_0000449620	P82650
P0DTD1-PRO_0000449620	P53007
P0DTD1-PRO_0000449620	P26599
P0DTD1-PRO_0000449620	P08865
P0DTD1-PRO_0000449620	P05023
P0DTD1-PRO_0000449620	P16615
P0DTD1-PRO_0000449620	P34932
P0DTD1-PRO_0000449620	O00411
P0DTD1-PRO_0000449620	Q9UNQ2
P0DTD1-PRO_0000449620	Q9H0A0
P0DTD1-PRO_0000449620	Q96CS3
P0DTD1-PRO_0000449621	P63244
P0DTD1-PRO_0000449621	P50991
P0DTD1-PRO_0000449621	P06576
P0DTD1-PRO_0000449621	P31689
P0DTD1-PRO_0000449621	P25705
P0DTD1-PRO_0000449621	P25205
P0DTD1-PRO_0000449621	P40227
P0DTD1-PRO_0000449621	P48643
P0DTD1-PRO_0000449621	P22314
P0DTD1-PRO_0000449621	P53621
P0DTD1-PRO_0000449621	P61158
P0DTD1-PRO_0000449621	Q16875
P0DTD1-PRO_0000449621	Q9UM54
P0DTD1-PRO_0000449621	Q06787
P0DTD1-PRO_0000449621	P62195
P0DTD1-PRO_0000449621	P62269
P0DTD1-PRO_0000449621	Q96N67
P0DTD1-PRO_0000449621	P25205
P0DTD1-PRO_0000449621	P19105
P0DTD1-PRO_0000449621	P60660
P0DTD1-PRO_0000449621	P35998
P0DTD1-PRO_0000449621	Q9NTJ3
P0DTD1-PRO_0000449621	P04406
P0DTD1-PRO_0000449621	P61158
P0DTD1-PRO_0000449621	Q9NZ01
P0DTD1-PRO_0000449621	Q9UM54
P0DTD1-PRO_0000449621	P25705
P0DTD1-PRO_0000449621	P06576
P0DTD1-PRO_0000449621	P05023
P0DTD1-PRO_0000449621	Q16891
P0DTD1-PRO_0000449621	Q9P035
P0DTD1-PRO_0000449621	P16615
P0DTD1-PRO_0000449622	P09012
P0DTD1-PRO_0000449622	P35250
P0DTD1-PRO_0000449622	P35251
P0DTD1-PRO_0000449622	Q9NXF1
P0DTD1-PRO_0000449622	Q9H5H4
P0DTD1-PRO_0000449622	P05023
P0DTD1-PRO_0000449622	P16989
P0DTD1-PRO_0000449622	P25398
P0DTD1-PRO_0000449622	Q14498
P0DTD1-PRO_0000449622	Q9UHX1
P0DTD1-PRO_0000449622	Q9NW13
P0DTD1-PRO_0000449622	O43660
P0DTD1-PRO_0000449622	Q7Z2T5
P0DTD1-PRO_0000449622	O15381
P0DTD1-PRO_0000449622	Q9NX58
P0DTD1-PRO_0000449622	O43395
P0DTD1-PRO_0000449622	Q13610
P0DTD1-PRO_0000449622	O00567
P0DTD1-PRO_0000449622	P16615
P0DTD1-PRO_0000449622	Q9UKD2
P0DTD1-PRO_0000449622	P11387
P0DTD1-PRO_0000449622	P46013
P0DTD1-PRO_0000449622	P26599
P0DTD1-PRO_0000449622	Q86UE4
P0DTD1-PRO_0000449622	Q9UJV9
P0DTD1-PRO_0000449622	Q13523
P0DTD1-PRO_0000449622	O15226
P0DTD1-PRO_0000449622	P46782
P0DTD1-PRO_0000449622	Q92615
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC1-PRO_0000449645	O75347
P0DTD1-PRO_0000449623	Q92769
EBI-25475912	Q9UJZ1
P0DTC2	Q9BYF1
P0DTD1-PRO_0000449633	P61158
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
P0DTC2	Q9BYF1
