Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EGOT,0.728284143,-3.082782784,5.743991369,-0.536696974,0.591476947,0.990364873
EGR1,39.23520135,0.199701374,1.051905784,0.189847206,0.849428864,0.996317104
EGR2,0.527440684,-1.483355829,5.974911825,-0.248264054,0.80393011,0.996317104
EGR3,1.455854102,-1.191329724,3.171815482,-0.375598685,0.707215268,0.990364873
EGR4,0.636011947,2.021994541,6.120206177,0.330380135,0.74111275,0.990364873
EHBP1,214.5724053,-1.116443478,0.329575961,-3.387514898,0.000705289,0.096250558
EHBP1L1,14.88333253,-0.778343624,0.868471105,-0.896222821,0.370133769,0.990364873
EHD1,203.2918839,0.506957754,0.530675841,0.955305885,0.339423032,0.990364873
EHD2,15.57476526,0.399701969,0.894999962,0.446594398,0.655167941,0.990364873
EHD3,1.182186787,-0.258027446,3.668802475,-0.070330155,0.943930882,0.996317104
EHD4,176.3920558,0.078765511,0.42140479,0.18691176,0.851729819,0.996317104
EHD4-AS1,1.368445653,-3.68183538,3.805141304,-0.967594916,0.333246717,0.990364873
EHF,796.3692306,-0.146683295,0.211572923,-0.693298996,0.488121933,0.990364873
EHHADH,32.80967302,0.472085659,0.637666427,0.740333251,0.45909781,0.990364873
EHMT1,54.0205529,0.025334704,0.474618291,0.053379115,0.957429845,0.996317104
EHMT2,79.29483223,0.296013379,0.412219071,0.718097244,0.472697329,0.990364873
EI24,3395.764659,0.136951779,0.176493848,0.775957802,0.437773902,0.990364873
EID1,463.393915,0.095942329,0.347125903,0.276390579,0.782248092,0.996317104
EID2,66.57632243,-0.242737896,0.56419489,-0.430237672,0.667022761,0.990364873
EID2B,0.211797386,-0.172124498,6.052302715,-0.028439506,0.977311616,0.996317104
EID3,2.45587707,0.624892192,2.867614893,0.217913568,0.827496456,0.996317104
EIF1,2806.493487,0.062920149,0.191525604,0.32852082,0.742517905,0.990535875
EIF1AD,72.47864727,0.230279264,0.486638835,0.473203631,0.636067908,0.990364873
EIF1AX,1064.070087,0.201563661,0.2471981,0.815393246,0.414847249,0.990364873
EIF1AY,138.7880985,0.438578353,0.37598724,1.166471375,0.243423916,0.990364873
EIF1B,164.6168395,-0.661774147,0.381115633,-1.736413021,0.082490832,0.882416769
EIF1B-AS1,2.709042208,2.021899037,6.120206177,0.33036453,0.741124539,0.990364873
EIF2A,236.8912389,0.105392716,0.287870269,0.366111849,0.714281616,0.990364873
EIF2AK1,1734.327581,-0.020769554,0.568138315,-0.036557214,0.970838059,0.996317104
EIF2AK2,128.5762276,-0.142381878,0.448532306,-0.317439517,0.750910126,0.993607438
EIF2AK3,37.83237534,0.284164797,0.55242183,0.514398203,0.606973616,0.990364873
EIF2AK4,73.5802048,0.428923853,0.453644352,0.945506873,0.344400164,0.990364873
EIF2B1,68.54039431,0.22881968,0.470379065,0.486458044,0.626642445,0.990364873
EIF2B2,286.6437559,-0.461417297,0.309475009,-1.490967879,0.135969928,0.97126241
EIF2B3,34.70687035,0.088861796,0.671745992,0.132284817,0.894759016,0.996317104
EIF2B4,66.1515937,0.373467002,0.437444171,0.853747809,0.393244738,0.990364873
EIF2B5,107.250575,-0.178308353,0.444180945,-0.401431794,0.688102245,0.990364873
EIF2D,71.64170864,-0.829378246,0.663462974,-1.250074651,0.211272279,0.990364873
EIF2S1,153.7138204,0.147075283,0.321593117,0.457333429,0.647431405,0.990364873
EIF2S2,580.5806437,-0.059225032,0.203647961,-0.29082065,0.771188491,0.99576093
EIF2S3,889.9749657,-0.349765994,0.209271282,-1.671352087,0.094652154,0.905387793
EIF3A,826.8896256,-0.354230636,0.291057886,-1.217045313,0.223586976,0.990364873
EIF3B,861.2868303,-0.349857324,0.371055858,-0.942869696,0.345747557,0.990364873
EIF3D,440.0227987,0.048247626,0.330776204,0.14586184,0.884030456,0.996317104
EIF3E,1010.63802,-0.359328185,0.212213901,-1.693235851,0.090410583,0.90208891
EIF3F,277.6142559,-0.136190607,0.326925321,-0.416580175,0.676985513,0.990364873
EIF3G,175.1853948,-0.241464288,0.522512152,-0.462121861,0.643993934,0.990364873
EIF3H,833.5203896,-0.145349019,0.206227562,-0.70479919,0.480935212,0.990364873
EIF3I,368.9915181,-0.218480193,0.336044552,-0.650152462,0.515593744,0.990364873
EIF3J,267.9567226,-0.198556452,0.379730635,-0.52288763,0.601052454,0.990364873
EIF3J-AS1,16.66419057,-2.206199649,1.111053858,-1.985682001,0.047068645,0.754354597
EIF3K,543.8060874,0.388418002,0.279385902,1.39025627,0.164451072,0.990364873
EIF3L,820.2723786,0.061093726,0.19207736,0.318068336,0.750433102,0.993335432
EIF3M,318.58979,-0.062658115,0.261122057,-0.239957191,0.810363444,0.996317104
EIF4A2,650.9444104,-0.320011008,0.209167727,-1.529925348,0.126035208,0.961678302
EIF4A3,147.9255672,-0.522260531,0.374906003,-1.39304393,0.163606507,0.990364873
EIF4B,2853.984533,-0.051359056,0.210699395,-0.243755119,0.807420482,0.996317104
EIF4E,507.5682242,-0.40812635,0.270111671,-1.510954149,0.130800133,0.965661938
EIF4E2,322.8241479,-0.20877116,0.315416081,-0.661891299,0.508040888,0.990364873
EIF4E3,88.97557227,-0.389731345,0.452635435,-0.861027032,0.389223155,0.990364873
EIF4EBP1,189.5195058,-0.377314563,0.42441638,-0.889019794,0.373992442,0.990364873
EIF4EBP2,1010.459442,-0.16635325,0.247207364,-0.672929995,0.500991829,0.990364873
EIF4EBP3,0.26961195,-0.673266754,6.021885892,-0.111803306,0.910979366,0.996317104
EIF4ENIF1,31.37656973,-0.478041926,0.794233536,-0.601890886,0.547246772,0.990364873
EIF4G1,479.7979133,0.552045658,0.460401494,1.199052708,0.230507451,0.990364873
EIF4G2,3461.096432,-0.062529012,0.181624266,-0.344276748,0.730638169,0.990364873
EIF4G3,136.8127821,0.207801784,0.378031551,0.549694286,0.582529077,0.990364873
EIF4H,1534.363338,-0.243858167,0.211032686,-1.155546905,0.247866537,0.990364873
EIF5,468.4800829,-0.13802016,0.245165572,-0.562967138,0.573457262,0.990364873
EIF5A,409.04301,0.742200806,0.463441453,1.601498531,0.109266545,0.932221659
EIF5A2,24.19421547,0.643459546,0.747781852,0.86049099,0.389518448,0.990364873
EIF5AL1,9.895710645,-0.018522946,1.143755945,-0.016194841,0.987078951,0.99641976
EIF5B,974.50593,-0.086901712,0.21706571,-0.400347487,0.688900597,0.990364873
EIF6,568.6716752,-0.014632575,0.236141751,-0.061965219,0.95059053,0.996317104
ELAC1,31.25297363,0.669776543,0.66900612,1.001151592,0.316753525,0.990364873
ELAC2,77.51187348,0.537174855,0.517873899,1.037269605,0.299610227,0.990364873
ELAVL1,587.6261439,0.272584617,0.355973698,0.765743701,0.443828819,0.990364873
ELAVL2,1.185283725,0.587786445,3.755314301,0.156521238,0.87562218,0.996317104
ELAVL4,0.316284731,2.021995598,6.120206177,0.330380307,0.741112619,0.990364873
ELF1,114.0816426,-0.304596462,0.428097878,-0.711511263,0.476767474,0.990364873
ELF2,40.99048136,-1.526786227,0.583905585,-2.614782707,0.008928424,0.372583368
ELF3,1592.91205,-0.14407539,0.221657134,-0.649992118,0.515697313,0.990364873
ELF4,129.5661482,0.00341201,0.516043227,0.006611869,0.994724531,0.998007972
ELF5,0.287605321,3.254063898,6.082330185,0.535002836,0.592647896,0.990364873
ELFN1,0.302257611,4.496521103,6.052260409,0.742949047,0.457512529,0.990364873
ELFN1-AS1,2.038458177,0.429140365,3.707644829,0.115744734,0.907854852,0.996317104
ELFN2,42.8848896,-0.967420952,0.815590824,-1.186159682,0.235559245,0.990364873
ELK1,29.64990978,-0.401880188,0.754947188,-0.532328875,0.594498237,0.990364873
ELK3,17.7554827,0.421119021,0.866440366,0.486033474,0.626943433,0.990364873
ELK4,79.48350705,0.391531537,0.592557332,0.660748785,0.508773432,0.990364873
ELL,41.61527189,-0.19292874,0.723361789,-0.266711268,0.789691478,0.996317104
ELL2,76.90112836,-0.056454931,0.464214734,-0.121613829,0.903204861,0.996317104
ELL3,32.88503772,-0.184361642,0.557925654,-0.330441234,0.741066589,0.990364873
ELMO1,0.432346318,2.021990788,6.120206177,0.330379521,0.741113213,0.990364873
ELMO2,23.09860085,-1.368069581,0.882202327,-1.550743565,0.12096315,0.953080302
ELMO3,115.1264163,-0.26169433,0.437548748,-0.598091828,0.549778663,0.990364873
ELMOD1,0.432925939,3.840901158,6.065116423,0.6332774,0.526552509,0.990364873
ELMOD2,76.98506565,-0.261784829,0.444925331,-0.588379242,0.556277767,0.990364873
ELMOD3,27.46188652,0.31503663,0.67657011,0.465637819,0.641474768,0.990364873
ELMSAN1,121.3314782,-1.687185225,0.774744301,-2.177731701,0.029426017,0.630679539
ELN,7.482808716,2.217989259,1.602368301,1.384194419,0.166298932,0.990364873
ELOF1,182.5126099,-0.164486285,0.338744044,-0.485576907,0.627267173,0.990364873
ELOVL1,447.9212831,0.454295695,0.327771529,1.386013289,0.165742846,0.990364873
ELOVL2-AS1,0.453386417,5.062532499,6.019149656,0.841071046,0.400308134,0.990364873
ELOVL3,0.17217998,2.02204647,6.120206177,0.330388619,0.74110634,0.990364873
ELOVL4,3.490038619,2.022211572,2.805326308,0.720847185,0.471003541,0.990364873
ELOVL5,149.163716,-0.605027557,0.33739296,-1.793242982,0.07293408,0.847608726
ELOVL6,127.8926313,0.229358761,0.417912626,0.54881989,0.583129059,0.990364873
ELOVL7,289.0853115,-0.465245166,0.286160281,-1.625820204,0.103987909,0.921701525
ELP2,55.85143786,-0.21802472,0.594725808,-0.366597039,0.713919617,0.990364873
ELP3,68.57162932,0.188472778,0.583811187,0.322831734,0.746822679,0.991793323
ELP4,131.2182907,-0.531076843,0.49950193,-1.063212794,0.287685462,0.990364873
ELP5,74.07600661,0.245128548,0.496461935,0.493750941,0.621482084,0.990364873
ELP6,45.91182815,0.015863396,0.700216903,0.022654975,0.981925491,0.99641976
EMB,0.83966368,-2.816018905,4.373345221,-0.643905012,0.519637032,0.990364873
EMC1,88.23604944,-0.152712339,0.484070654,-0.315475308,0.752400796,0.993774676
EMC10,609.5492873,0.042434545,0.205196694,0.206799362,0.836166555,0.996317104
EMC2,84.29122171,0.155671576,0.433023812,0.359498882,0.719221914,0.990364873
EMC3,182.153108,0.006180138,0.361837179,0.017079886,0.986372885,0.99641976
EMC3-AS1,10.06666667,-0.162753768,1.500528708,-0.108464282,0.913627413,0.996317104
EMC4,138.955391,-0.099195335,0.342092377,-0.289966515,0.771841855,0.99576093
EMC6,12.56834138,1.303990084,0.922055612,1.414220647,0.157297128,0.990364873
EMC7,242.3348944,-0.199689495,0.297578234,-0.671048726,0.502189489,0.990364873
EMC8,142.6116012,0.661277008,0.466391457,1.417858323,0.156232132,0.990364873
EMC9,62.17936614,1.156481423,0.492259644,2.349332181,0.01880712,0.532272975
EMCN,0.294657093,0.360435834,6.095476499,0.059131691,0.952847217,0.996317104
EMD,47.04258251,-0.330304592,0.560665208,-0.589129819,0.555774192,0.990364873
EME1,10.96518126,-1.279738779,1.955930233,-0.654286517,0.512927231,0.990364873
EMG1,254.6627428,-0.145803703,0.384184242,-0.379515053,0.704305429,0.990364873
EMID1,0.132100189,2.022085758,6.120206177,0.330395039,0.74110149,0.990364873
EMILIN1,0.153235532,2.022071643,6.120206177,0.330392733,0.741103232,0.990364873
EMILIN2,10.80110024,-0.225916673,1.295500129,-0.174385681,0.861562367,0.996317104
EML2,14.0128079,0.347260861,1.121642342,0.309600349,0.756864891,0.993897737
EML2-AS1,1.094103363,2.753370245,3.647482653,0.754868633,0.450327808,0.990364873
EML3,28.14078334,0.072943612,0.72057975,0.101229062,0.919368627,0.996317104
EML4,268.0061811,0.020120504,0.300743281,0.066902588,0.946659252,0.996317104
EML5,0.527214142,-0.441000775,5.253088593,-0.083950759,0.933095582,0.996317104
EML6,7.637232724,0.1233378,1.218008779,0.101261831,0.919342615,0.996317104
EMP1,176.0297298,-0.296009916,0.398761985,-0.742322305,0.457892081,0.990364873
EMP2,448.876492,-0.685090702,0.343261557,-1.995827056,0.045952751,0.750310318
EMP3,6.675596952,0.816514843,1.383428295,0.590211178,0.555049079,0.990364873
EMSY,33.00011428,-1.327878215,1.081699687,-1.227584912,0.219602829,0.990364873
EMX1,0.948394938,-1.750253298,4.560896161,-0.38375206,0.701162223,0.990364873
EMX2,1.375779124,2.777621767,2.944961006,0.943177774,0.34558998,0.990364873
EMX2OS,0.855127978,0.800823342,3.822377839,0.209509205,0.83405075,0.996317104
EN1,0.169227763,2.022076513,6.120206177,0.330393528,0.741102631,0.990364873
EN2,0.406645914,2.02204529,6.120206177,0.330388427,0.741106485,0.990364873
ENAH,147.6559322,0.585985459,0.321471287,1.822823629,0.068330108,0.837214752
ENC1,223.1883223,-0.477663816,0.335535814,-1.423585192,0.154566585,0.990364873
ENDOD1,86.9545795,0.796117245,0.460865209,1.72744054,0.084088575,0.884061116
ENDOG,12.34000426,0.139302934,0.970773031,0.143496913,0.885897749,0.996317104
ENDOU,0.095934042,2.022096503,6.120206177,0.330396795,0.741100163,0.990364873
ENDOV,14.18953826,1.353784424,1.002662498,1.350189547,0.17695519,0.990364873
ENGASE,44.29936511,0.158546123,0.531231014,0.298450428,0.765359406,0.99576093
ENHO,0.139946558,2.022110555,6.120206177,0.330399091,0.741098429,0.990364873
ENKD1,13.79267743,-1.359171434,1.039560606,-1.307447999,0.191060605,0.990364873
ENKUR,0.449533763,3.440506008,6.021814644,0.571340403,0.567768919,0.990364873
ENO1,3323.709176,-0.277570708,0.20768714,-1.336484811,0.181390862,0.990364873
ENO1-AS1,0.940186217,1.778850873,3.847679246,0.46231787,0.643853387,0.990364873
ENO2,77.39067911,-1.844051892,0.93998089,-1.961797216,0.049786098,0.765907424
ENO3,2.039073544,-3.855459435,2.522760727,-1.52826996,0.126445525,0.963939776
ENO4,0.868820359,5.46094785,6.002235209,0.909819036,0.362917954,0.990364873
ENOPH1,195.657435,-0.909970788,0.397268522,-2.290568566,0.021988379,0.568290751
ENOSF1,226.3396233,0.175369695,0.303018267,0.57874298,0.56276261,0.990364873
ENOX2,33.24179142,-0.642891632,0.827775195,-0.776650032,0.437365275,0.990364873
ENPEP,25.93811398,-0.035339464,0.791688559,-0.044638089,0.964395782,0.996317104
ENPP1,18.53498278,-0.027575233,1.085470479,-0.025403946,0.979732764,0.99641976
ENPP2,0.089466376,2.022107374,6.120206177,0.330398571,0.741098821,0.990364873
ENPP3,13.89984529,-0.137565031,1.031478867,-0.133366796,0.893903304,0.996317104
ENPP4,55.28523986,-0.166617718,0.466595149,-0.357092692,0.721022415,0.990364873
ENPP5,3.736450824,1.777387745,1.666240949,1.066705116,0.286105016,0.990364873
ENPP6,0.328927819,2.022036498,6.120206177,0.33038699,0.74110757,0.990364873
ENPP7P13,8.37416943,8.008727329,2.078736426,3.852690139,0.000116827,0.029032899
ENSA,335.0502228,0.275519253,0.253665234,1.086152992,0.277411311,0.990364873
ENTHD1,0.151128806,3.841017684,6.065116407,0.633296614,0.526539964,0.990364873
ENTHD2,14.69708853,-0.850240931,1.020622409,-0.833061202,0.404810214,0.990364873
ENTPD1,7.824735648,2.610079501,1.344568696,1.941202045,0.052233775,0.769427178
ENTPD1-AS1,1.646136741,1.703405238,3.151118059,0.540571697,0.58880283,0.990364873
ENTPD2,22.60933392,0.878081632,0.926170564,0.948077672,0.343089914,0.990364873
ENTPD3,2.475424357,2.475115913,2.009765671,1.231544527,0.218119274,0.990364873
ENTPD3-AS1,2.935216702,1.826566318,2.297535008,0.795011311,0.426606923,0.990364873
ENTPD4,41.97643127,-0.248478075,0.623289846,-0.398655741,0.690146884,0.990364873
ENTPD5,297.0040635,0.270046159,0.347390346,0.777356545,0.436948443,0.990364873
ENTPD6,176.287714,0.352233296,0.311573264,1.130499103,0.258265976,0.990364873
ENTPD7,92.63074941,0.160641145,0.416638732,0.385564596,0.699819158,0.990364873
ENTPD8,11.48686009,0.761508996,0.979046982,0.777806387,0.436683162,0.990364873
ENY2,684.2317902,0.50210268,0.30879014,1.626032101,0.103942827,0.921701525
EOGT,22.85186915,-0.119281048,1.003949208,-0.118811835,0.905424432,0.996317104
EP300,220.945081,-0.641921802,0.399643445,-1.606236286,0.108222004,0.932221659
EP300-AS1,2.783761924,1.784887314,2.050799277,0.870337402,0.384116045,0.990364873
EP400,50.43589923,-0.728399245,0.741219728,-0.982703532,0.325753372,0.990364873
EP400NL,4.928487815,1.806217955,1.779726965,1.014884862,0.310160715,0.990364873
EPAS1,528.6067741,-0.122315078,0.26969262,-0.453535134,0.65016345,0.990364873
EPB41,10.93221725,-0.770010985,1.018720477,-0.755860909,0.449732594,0.990364873
EPB41L1,221.6478834,-0.27338846,0.376856431,-0.725444592,0.468179325,0.990364873
EPB41L2,286.361018,-0.009973519,0.294739417,-0.033838429,0.973005991,0.996317104
EPB41L3,6.830102973,0.367707905,1.296158755,0.283690484,0.776647588,0.99576093
EPB41L4A,153.5225527,-0.012823455,0.424052038,-0.030240287,0.975875419,0.996317104
EPB41L4A-AS1,157.036831,-1.078472588,0.422410354,-2.553139565,0.010675671,0.41521285
EPB41L4A-AS2,1.883401828,2.022148258,4.119246383,0.490902478,0.623495424,0.990364873
EPB41L4B,209.4241447,0.178959866,0.270543495,0.661482792,0.508302747,0.990364873
EPB41L5,77.03652818,-0.226233964,0.40484026,-0.558822791,0.576282666,0.990364873
EPC1,147.1719804,-0.09424383,0.532396834,-0.177018014,0.85949424,0.996317104
EPC2,17.58730664,-0.40735372,0.9012271,-0.451998969,0.651269725,0.990364873
EPCAM,8119.093698,-0.277171807,0.21210607,-1.306760373,0.191294108,0.990364873
EPDR1,117.9290096,-0.473020836,0.600638202,-0.787530389,0.430971446,0.990364873
EPG5,42.24247054,-0.932667424,0.565861603,-1.648225323,0.099306442,0.916911402
EPHA1,31.72431509,0.329088037,0.70810133,0.464747096,0.642112578,0.990364873
EPHA1-AS1,0.715965715,-0.188189783,4.43852458,-0.042399176,0.966180486,0.996317104
EPHA10,9.023762762,1.841691409,1.153022086,1.597273314,0.110204797,0.932221659
EPHA2,515.404513,-0.64615042,0.29087536,-2.221399642,0.026323905,0.606392365
EPHA3,0.356695892,3.254120231,6.082330234,0.535012093,0.592641495,0.990364873
EPHA4,7.525988149,-0.405608754,1.342109776,-0.302217271,0.762486439,0.995437843
EPHA7,0.758727209,0.995412328,3.840270012,0.259203734,0.79547805,0.996317104
EPHA8,0.594218947,-0.751281889,6.018017124,-0.124838776,0.900651189,0.996317104
EPHB1,2.410459516,-1.133921282,2.891598057,-0.392143465,0.694952213,0.990364873
EPHB2,83.52355963,1.421636972,0.648042689,2.193739697,0.028254128,0.624443025
EPHB3,200.8864256,-0.079018465,0.44032311,-0.179455638,0.857579948,0.996317104
EPHB4,185.9252506,-0.354483977,0.856372001,-0.413936907,0.678920314,0.990364873
EPHB6,16.72241644,-0.510751177,0.992296463,-0.514716313,0.606751272,0.990364873
EPHX1,265.9519174,0.480821026,0.31679146,1.517784049,0.129068847,0.965661938
EPHX2,94.78365048,0.823919248,0.381456604,2.159929173,0.030778153,0.643655483
EPHX3,0.10966133,0.360544251,6.095481227,0.059149432,0.952833087,0.996317104
EPHX4,27.46933423,0.829290603,0.774343454,1.070959661,0.284187568,0.990364873
EPM2A,2.533467359,0.939201501,1.927912142,0.487159908,0.626145015,0.990364873
EPM2AIP1,261.3020025,-0.252189881,0.373054209,-0.676014034,0.499031735,0.990364873
EPN1,475.6255119,0.680261137,0.456433896,1.490382602,0.136123664,0.971462921
EPN2,10.61464445,-0.060856932,1.047786255,-0.058081438,0.95368376,0.996317104
EPN2-IT1,0.095545785,2.022081017,6.120206177,0.330394264,0.741102075,0.990364873
EPN3,38.3795717,0.572263354,0.672011088,0.851568321,0.394453728,0.990364873
EPOR,11.2252274,-3.931438375,1.791775329,-2.194158114,0.028224045,0.624443025
EPPIN,5.51189937,2.358884744,1.636531766,1.44139258,0.149473805,0.990364873
EPPK1,76.87712283,0.815102103,0.392995818,2.074073223,0.038072511,0.700549757
EPRS,495.2838193,0.189286582,0.222677838,0.850046791,0.395299073,0.990364873
EPS15,172.3807847,-0.057749936,0.469007408,-0.123132247,0.902002376,0.996317104
EPS15L1,52.96879399,-0.039573482,0.535881331,-0.073847473,0.941131752,0.996317104
EPS8,186.4845409,-0.251543274,0.306986506,-0.819395214,0.412560965,0.990364873
EPS8L1,53.63254753,-0.030357535,0.584262224,-0.05195875,0.958561562,0.996317104
EPS8L2,131.4413642,0.268318724,0.38965251,0.688610281,0.49106855,0.990364873
EPS8L3,1316.903856,-0.068456558,0.25627975,-0.267116532,0.78937944,0.996317104
EPSTI1,40.47206797,1.931456541,0.547625411,3.526966613,0.00042035,0.071735825
EPT1,217.6537229,-0.24634125,0.322500215,-0.763848329,0.444957632,0.990364873
EQTN,0.162699379,-0.17209902,6.05230454,-0.028435288,0.97731498,0.996317104
ERAL1,108.7561397,0.068167548,0.3595492,0.189591711,0.849629083,0.996317104
ERAP1,327.350185,0.339885295,0.36123181,0.940906327,0.346752865,0.990364873
ERAP2,44.23884268,0.413883627,0.530168176,0.780664788,0.434999676,0.990364873
ERBB2,103.4938608,-0.110089165,0.413007991,-0.266554564,0.789812143,0.996317104
ERBB3,612.1877451,-0.452772994,0.301540957,-1.501530665,0.133218361,0.968026036
ERBB4,0.139946558,2.022110555,6.120206177,0.330399091,0.741098429,0.990364873
ERBIN,212.2598099,-0.462666421,0.343235006,-1.347958143,0.177671846,0.990364873
ERC1,31.20340408,-0.489119013,0.748466725,-0.653494667,0.513437427,0.990364873
ERC2,0.172808388,2.022083555,6.120206177,0.330394679,0.741101762,0.990364873
ERC2-IT1,0.116595545,2.022078331,6.120206177,0.330393825,0.741102407,0.990364873
ERCC-00111,0.53718662,2.956126516,5.27394493,0.560515242,0.575128046,0.990364873
ERCC-00113,0.072986397,2.022097779,6.120206178,0.330397003,0.741100006,0.990364873
ERCC-00137,0.085757275,0.360568211,6.095482271,0.059153352,0.952829964,0.996317104
ERCC-00138,0.138130798,0.36051481,6.095479943,0.059144614,0.952836924,0.996317104
ERCC-00162,0.092506081,2.022088069,6.120206177,0.330395417,0.741101204,0.990364873
ERCC1,53.76612105,-0.312020657,0.471389757,-0.661916498,0.508024738,0.990364873
ERCC2,5.279993429,0.161933954,1.665509555,0.097227874,0.922545432,0.996317104
ERCC3,62.84989172,0.298890021,0.54137268,0.55209661,0.580882164,0.990364873
ERCC4,15.97276006,0.486218416,0.959495219,0.506743969,0.612334475,0.990364873
ERCC5,0.626525947,2.322989809,4.825726316,0.481376203,0.630249147,0.990364873
ERCC6,27.93226246,0.262512002,0.861628605,0.304669553,0.760617841,0.995001774
ERCC6L,15.49602681,-1.229083173,1.410338672,-0.87148087,0.383491647,0.990364873
ERCC6L2,49.8635074,0.208498356,0.541051983,0.385357345,0.699972681,0.990364873
ERCC8,31.6152227,1.135586515,0.684499338,1.659003087,0.09711517,0.906934097
EREG,19.06203401,1.131073191,1.019842993,1.109066002,0.26740171,0.990364873
ERF,43.26467117,0.399512871,0.696166915,0.573875119,0.566052311,0.990364873
ERGIC1,290.047008,0.089118556,0.442158126,0.201553587,0.840265733,0.996317104
ERGIC2,80.41072418,-0.105379607,0.46684547,-0.225726957,0.821413791,0.996317104
ERGIC3,885.5967235,0.540139706,0.204660769,2.639195132,0.008310313,0.362562545
ERH,497.211646,-0.028567377,0.245600015,-0.116316676,0.90740157,0.996317104
ERI1,84.22751068,-1.385764977,0.580202278,-2.38841699,0.01692113,0.503830155
ERI2,24.33850091,0.156097299,0.628889723,0.248210924,0.803971215,0.996317104
ERI3,151.3539741,0.460887427,0.443702855,1.03872991,0.298930366,0.990364873
ERI3-IT1,0.263394173,2.022054651,6.120206177,0.330389956,0.74110533,0.990364873
ERICH1,26.0521488,0.127584368,0.870134796,0.146625981,0.883427245,0.996317104
ERICH2,48.07546287,1.132753851,0.636907453,1.778521898,0.075318179,0.855316318
ERICH3,0.155813537,3.254134831,6.082330234,0.535014494,0.592639835,0.990364873
ERICH3-AS1,0.207008205,2.022103285,6.120206177,0.330397903,0.741099326,0.990364873
ERICH4,56.73824985,0.03828263,0.510437141,0.074999695,0.940214955,0.996317104
ERICH5,44.90546787,0.311157951,0.627462804,0.495898639,0.619965926,0.990364873
ERICH6,0.226693208,4.217179855,6.057103319,0.696237068,0.486280377,0.990364873
ERICH6-AS1,1.250146183,-3.246718271,3.993961775,-0.812906696,0.416271555,0.990364873
ERLEC1,179.9009148,0.539747269,0.306699724,1.75985574,0.078432269,0.867550146
ERLIN1,181.4091665,-0.223900172,0.331091954,-0.676247699,0.498883393,0.990364873
ERLIN2,216.4642645,0.489022284,0.302964873,1.614122055,0.106500954,0.928592043
ERMAP,29.99508267,-0.071323907,0.856326369,-0.083290565,0.933620502,0.996317104
ERMARD,73.85421656,0.56359831,0.608337303,0.926456929,0.35420857,0.990364873
ERMN,1.038376223,2.022097269,4.738933269,0.426698827,0.669598705,0.990364873
ERMP1,87.4268907,-0.027703448,0.44146938,-0.062752818,0.949963337,0.996317104
ERN1,0.501214786,-2.190606146,5.316337787,-0.412051723,0.680301513,0.990364873
ERN2,153.1562634,-0.406299701,0.440496547,-0.922367505,0.356336914,0.990364873
ERO1A,1308.174558,-0.755866733,0.225939613,-3.345436967,0.00082153,0.105397137
ERO1B,4.14927645,-2.995886374,2.067113827,-1.449308855,0.147251349,0.990364873
ERP27,7.927398108,-0.804561139,1.420747239,-0.566294354,0.571193698,0.990364873
ERP29,194.6604338,0.345709011,0.401689077,0.860638316,0.389437276,0.990364873
ERP44,376.8134481,0.435748675,0.257524389,1.692067602,0.090633085,0.90208891
ERRFI1,105.8135678,-0.678475337,0.508631857,-1.333922221,0.182229348,0.990364873
ERV3-1,4.388527474,-1.327041957,1.853874854,-0.71582068,0.474102082,0.990364873
ERVFRD-1,0.151128806,3.841017684,6.065116407,0.633296614,0.526539964,0.990364873
ERVH48-1,0.434716679,4.217094429,6.057103318,0.696222965,0.486289208,0.990364873
ERVK13-1,15.64958092,0.619533924,0.885442962,0.699688123,0.484122095,0.990364873
ERVMER34-1,4.806017372,1.062367331,1.621848447,0.655034897,0.512445286,0.990364873
ERVV-1,0.063174363,-0.172055379,6.052307666,-0.028428062,0.977320743,0.996317104
ERVW-1,7.818582805,0.183114918,1.173704489,0.156014499,0.876021592,0.996317104
ESAM,36.26057534,0.633981815,0.912505057,0.694770742,0.487198987,0.990364873
ESCO1,46.72863181,-0.601064505,0.583381954,-1.030310419,0.30286431,0.990364873
ESCO2,57.34527045,0.255776221,0.499494345,0.512070304,0.608601807,0.990364873
ESD,641.7379475,0.020854861,0.342490884,0.060891726,0.951445439,0.996317104
ESF1,118.8032942,-0.08854674,0.395979221,-0.223614612,0.823057193,0.996317104
ESPL1,19.93011639,-0.279014137,0.846790486,-0.32949607,0.741780764,0.990481887
ESPN,194.8721898,0.720988937,0.364952462,1.975569456,0.048203561,0.76003332
ESPNL,0.080103946,2.022101673,6.120206177,0.330397639,0.741099525,0.990364873
ESR2,0.516126115,2.021975806,6.120206177,0.330377073,0.741115063,0.990364873
ESRG,73.96962245,1.719425253,0.562134719,3.05874232,0.002222682,0.183889508
ESRP1,470.1420242,-0.293973383,0.255891526,-1.148820315,0.250630081,0.990364873
ESRP2,163.0383424,-0.16895151,0.380055451,-0.444544368,0.656649059,0.990364873
ESRRA,36.27661118,0.777483091,0.70554923,1.101954418,0.270481489,0.990364873
ESRRG,1.108490301,2.603995623,4.999768603,0.520823228,0.60248992,0.990364873
ESYT1,148.1057412,-0.711810451,0.357340993,-1.991964163,0.04637499,0.75075788
ESYT2,267.3744568,-0.635181666,0.323002254,-1.96649298,0.049241692,0.763408736
ESYT3,0.230359245,2.022070731,6.120206177,0.330392584,0.741103345,0.990364873
